11:25:55 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
11:29:30 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
11:35:50 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
11:38:00 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
11:42:15 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
11:43:07 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
11:47:52 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
11:49:27 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,400 | Status: Success | Server Response: Movie Slots Added
11:53:43 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,255 | Status: Success | Server Response: Movie Slots Added
11:57:32 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:03:10 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:03:32 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:14:05 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:14:32 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:15:27 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA140423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
